timestamp,user_id,model_type,anomaly_score,is_warmup,samples_count,features_processed,risk_level,action_taken,session_duration
2025-07-18 13:58:50,user_2,tap,0.2398,True,10,10,low,none,1258
2025-07-18 14:08:50,user_1,tap,0.2749,False,29,9,low,none,2547
2025-07-18 14:09:50,user_8,typing,0.5882,True,1,7,medium,security_challenge,2765
2025-07-18 14:10:50,user_4,swipe,0.0933,False,62,11,low,none,2844
2025-07-18 14:21:50,user_8,swipe,0.056,False,74,16,low,none,2738
2025-07-18 14:25:50,user_4,typing,0.3087,False,33,12,low,none,2542
2025-07-18 14:57:50,user_2,typing,0.2229,True,6,12,low,none,1985
2025-07-18 15:11:50,user_3,swipe,0.1492,False,52,13,low,none,586
2025-07-18 15:15:50,user_1,typing,0.3235,False,86,11,low,none,2699
2025-07-18 15:25:50,user_4,swipe,0.0492,False,69,18,low,none,1970
2025-07-18 16:03:50,user_3,tap,0.1833,False,80,15,low,none,374
2025-07-18 16:18:50,user_5,tap,0.7803,False,63,13,medium,security_challenge,1136
2025-07-18 16:43:50,user_8,tap,0.3204,False,53,9,low,none,2086
2025-07-18 16:45:50,user_5,typing,0.1449,True,8,6,low,none,3476
2025-07-18 16:47:50,user_5,tap,0.0345,False,65,11,low,none,2189
2025-07-18 17:00:50,user_5,typing,0.3822,False,9,7,low,none,3371
2025-07-18 17:07:50,user_3,typing,0.0245,False,71,12,low,none,900
2025-07-18 17:31:50,user_2,typing,0.4246,False,54,7,medium,security_challenge,393
2025-07-18 17:54:50,user_5,typing,0.1089,False,28,12,low,none,2173
2025-07-18 18:08:50,user_4,typing,0.3109,False,31,6,low,none,1525
2025-07-18 18:09:50,user_1,swipe,0.3489,False,56,15,low,none,1629
2025-07-18 18:16:50,user_3,swipe,0.1243,True,1,18,low,none,1336
2025-07-18 18:46:50,user_3,typing,0.0719,False,29,7,low,none,2294
2025-07-18 18:55:50,user_5,typing,0.4969,False,42,8,medium,none,982
2025-07-18 18:59:50,user_5,swipe,0.2591,False,48,10,low,none,2046
2025-07-18 19:12:50,user_4,typing,0.4205,False,8,7,medium,security_challenge,1420
2025-07-18 19:35:50,user_5,swipe,0.1327,False,48,18,low,none,1324
2025-07-18 19:35:50,user_2,tap,0.7274,False,24,9,medium,none,1219
2025-07-18 19:36:50,user_1,tap,0.0566,False,85,11,low,none,1533
2025-07-18 19:52:50,user_3,swipe,0.3086,False,90,17,low,none,3467
2025-07-18 20:00:50,user_8,swipe,0.3513,False,62,13,low,none,2988
2025-07-18 20:07:50,user_3,swipe,0.1771,False,28,11,low,none,1593
2025-07-18 20:31:50,user_4,tap,0.1903,False,97,9,low,none,555
2025-07-18 22:06:50,user_1,typing,0.2726,False,54,6,low,none,1642
2025-07-18 22:32:50,user_1,tap,0.2236,False,48,14,low,none,382
2025-07-18 22:42:50,user_2,swipe,0.2241,False,13,16,low,none,1486
2025-07-18 22:44:50,user_8,swipe,0.0406,False,12,14,low,none,182
2025-07-18 23:14:50,user_3,typing,0.3872,False,70,7,low,none,1481
2025-07-18 23:22:50,user_2,tap,0.01,False,48,13,low,none,2162
2025-07-18 23:32:50,user_1,typing,0.7517,False,51,10,medium,security_challenge,3546
2025-07-18 23:33:50,user_2,swipe,0.1334,True,6,15,low,none,1703
2025-07-18 23:38:50,user_5,typing,0.2697,False,83,12,low,none,662
2025-07-18 23:44:50,user_4,tap,0.616,False,92,12,medium,security_challenge,3417
2025-07-18 23:58:50,user_2,typing,0.4159,False,51,11,medium,none,2559
2025-07-19 00:18:50,user_8,swipe,0.3737,True,1,13,low,none,2850
2025-07-19 00:29:50,user_4,swipe,0.2418,True,8,17,low,none,1316
2025-07-19 00:32:50,user_5,swipe,0.2224,False,31,14,low,none,1430
2025-07-19 00:46:50,user_4,swipe,0.3033,False,83,10,low,none,2527
2025-07-19 00:58:50,user_5,typing,0.9245,False,100,12,high,force_logout,2805
2025-07-19 01:13:50,user_3,swipe,0.5583,False,33,15,medium,none,2449
2025-07-19 01:20:50,user_5,tap,0.1134,False,94,13,low,none,832
2025-07-19 01:37:50,user_5,tap,0.3752,False,82,8,low,none,3062
2025-07-19 01:47:50,user_5,typing,0.0561,False,18,10,low,none,403
2025-07-19 01:56:50,user_5,typing,0.5797,False,13,12,medium,security_challenge,549
2025-07-19 01:59:50,user_2,swipe,0.7864,False,80,10,medium,security_challenge,676
2025-07-19 02:03:50,user_1,tap,0.5128,False,43,12,medium,security_challenge,3183
2025-07-19 02:17:50,user_4,tap,0.272,False,37,13,low,none,236
2025-07-19 02:31:50,user_2,typing,0.0534,False,90,7,low,none,1476
2025-07-19 02:37:50,user_5,typing,0.0802,False,47,8,low,none,536
2025-07-19 03:19:50,user_4,swipe,0.3547,False,19,18,low,none,3233
2025-07-19 03:38:50,user_3,swipe,0.5409,False,16,10,medium,none,2433
2025-07-19 04:03:50,user_1,swipe,0.6908,False,28,17,medium,none,100
2025-07-19 04:26:50,user_8,tap,0.2268,False,33,11,low,none,160
2025-07-19 04:26:50,user_2,swipe,0.8424,True,8,14,high,force_logout,377
2025-07-19 04:57:50,user_2,typing,0.7564,False,6,7,medium,security_challenge,979
2025-07-19 05:22:50,user_3,typing,0.3187,False,9,9,low,none,759
2025-07-19 05:31:50,user_3,tap,0.1676,False,45,10,low,none,1328
2025-07-19 05:45:50,user_4,swipe,0.0453,False,52,12,low,none,3192
2025-07-19 06:06:50,user_4,typing,0.3127,False,97,9,low,none,3210
2025-07-19 06:10:50,user_1,swipe,0.3935,False,65,15,low,none,2343
2025-07-19 06:30:50,user_8,tap,0.8655,False,69,15,high,force_logout,2356
2025-07-19 06:30:50,user_2,typing,0.1267,False,92,12,low,none,2376
2025-07-19 06:34:50,user_4,tap,0.0339,False,60,8,low,none,375
2025-07-19 06:46:50,user_4,tap,0.2718,False,26,13,low,none,1426
2025-07-19 06:52:50,user_1,tap,0.2772,False,66,14,low,none,2917
2025-07-19 07:09:50,user_3,tap,0.2692,False,84,10,low,none,2828
2025-07-19 07:10:50,user_1,typing,0.0103,False,90,11,low,none,3172
2025-07-19 07:17:50,user_8,typing,0.4009,False,92,12,medium,none,2446
2025-07-19 07:26:50,user_5,swipe,0.6736,False,41,12,medium,none,778
2025-07-19 07:34:50,user_5,typing,0.2954,False,89,11,low,none,707
2025-07-19 07:51:50,user_1,swipe,0.4146,False,16,13,medium,none,674
2025-07-19 08:33:50,user_5,swipe,0.3492,False,6,14,low,none,2511
2025-07-19 08:48:50,user_4,typing,0.2223,False,29,8,low,none,205
2025-07-19 09:04:50,user_2,typing,0.3366,False,34,11,low,none,751
2025-07-19 09:11:50,user_2,tap,0.1819,False,100,11,low,none,2320
2025-07-19 09:17:50,user_5,swipe,0.2798,False,24,14,low,none,3087
2025-07-19 09:22:50,user_8,typing,0.2741,False,63,7,low,none,242
2025-07-19 09:42:50,user_8,tap,0.3977,False,19,12,low,none,1752
2025-07-19 10:19:50,user_3,typing,0.1797,False,86,10,low,none,2278
2025-07-19 10:57:50,user_4,typing,0.0277,True,9,7,low,none,1063
2025-07-19 11:07:50,user_1,tap,0.3603,False,33,12,low,none,2371
2025-07-19 11:13:50,user_3,swipe,0.0358,False,97,12,low,none,2572
2025-07-19 11:30:50,user_4,swipe,0.1671,False,11,13,low,none,3176
2025-07-19 11:38:50,user_1,tap,0.343,False,95,13,low,none,1601
2025-07-19 12:29:50,user_1,tap,0.5394,False,9,11,medium,security_challenge,345
2025-07-19 12:47:50,user_2,tap,0.7511,False,56,9,medium,none,1758
2025-07-19 12:48:50,user_2,tap,0.4683,False,58,9,medium,security_challenge,2267
2025-07-19 12:53:50,user_1,typing,0.2803,False,68,9,low,none,2903
2025-07-19 12:57:50,user_1,tap,0.188,True,8,8,low,none,749
2025-07-19 13:19:50,user_2,tap,0.4951,False,38,10,medium,none,3142
2025-07-19 23:27:34,8,tap,0.7,False,379,10,medium,security_challenge,4
2025-07-19 23:27:34,8,tap,0.6705,False,380,10,medium,security_challenge,2
2025-07-19 23:27:34,8,tap,0.5523,False,381,10,medium,security_challenge,2
2025-07-19 23:27:34,8,tap,0.4661,False,382,10,medium,none,3
2025-07-19 23:27:34,8,swipe,0.0,False,46,9,low,none,19
2025-07-19 23:27:34,8,swipe,0.0,False,47,9,low,none,3
2025-07-19 23:27:34,8,tap,0.6556,False,383,10,medium,security_challenge,54
2025-07-19 23:27:34,8,tap,0.4414,False,384,10,medium,none,2
2025-07-19 23:27:34,8,tap,0.6974,False,385,10,medium,security_challenge,3
2025-07-19 23:27:34,8,tap,0.6608,False,386,10,medium,security_challenge,3
2025-07-19 23:27:34,8,tap,0.601,False,387,10,medium,security_challenge,2
2025-07-19 23:27:34,8,tap,0.5471,False,388,10,medium,security_challenge,3
2025-07-19 23:27:34,8,tap,0.5023,False,389,10,medium,security_challenge,2
2025-07-19 23:27:34,8,tap,0.467,False,390,10,medium,none,3
2025-07-19 23:27:34,8,tap,0.4462,False,391,10,medium,none,2
2025-07-19 23:27:34,8,typing,0.9469,False,381,9,high,force_logout,3
2025-07-19 23:27:35,8,tap,0.6322,False,392,10,medium,security_challenge,2
2025-07-19 23:27:35,8,tap,0.5581,False,393,10,medium,security_challenge,2
2025-07-19 23:27:35,8,tap,0.4974,False,394,10,medium,none,2
2025-07-19 23:27:35,8,tap,0.4653,False,395,10,medium,none,4
2025-07-19 23:27:35,8,swipe,0.0,False,48,9,low,none,2
2025-07-19 23:27:35,8,swipe,0.0,False,49,9,low,none,2
2025-07-19 23:27:35,8,tap,0.6096,False,396,10,medium,security_challenge,2
2025-07-19 23:27:35,8,tap,0.5277,False,397,10,medium,security_challenge,2
2025-07-19 23:27:35,8,tap,0.6386,False,398,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.572,False,399,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.5176,False,400,10,medium,security_challenge,1
2025-07-19 23:27:36,8,tap,0.4747,False,401,10,medium,none,2
2025-07-19 23:27:36,8,tap,0.442,False,402,10,medium,none,2
2025-07-19 23:27:36,8,tap,0.4153,False,403,10,medium,none,2
2025-07-19 23:27:36,8,tap,0.6265,False,404,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.5771,False,405,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.6164,False,406,10,medium,security_challenge,2
2025-07-19 23:27:36,8,tap,0.5767,False,407,10,medium,security_challenge,2
2025-07-19 23:27:36,8,tap,0.5417,False,408,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.5105,False,409,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.5614,False,410,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.5233,False,411,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.6877,False,412,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.6688,False,413,10,medium,security_challenge,2
2025-07-19 23:27:36,8,tap,0.6552,False,414,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.6393,False,415,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.5564,False,416,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.5509,False,417,10,medium,security_challenge,2
2025-07-19 23:27:36,8,tap,0.6442,False,418,10,medium,security_challenge,2
2025-07-19 23:27:36,8,tap,0.6321,False,419,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.6248,False,420,10,medium,security_challenge,4
2025-07-19 23:27:36,8,tap,0.6132,False,421,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.7238,False,422,10,high,require_additional_auth,2
2025-07-19 23:27:36,8,tap,0.6906,False,423,10,medium,security_challenge,3
2025-07-19 23:27:36,8,tap,0.6122,False,424,10,medium,security_challenge,2
2025-07-19 23:27:36,8,tap,0.5981,False,425,10,medium,security_challenge,2
2025-07-19 23:27:36,8,tap,0.6445,False,426,10,medium,security_challenge,4
2025-07-19 23:27:36,8,tap,0.6297,False,427,10,medium,security_challenge,4
2025-07-19 23:27:36,8,tap,0.7777,False,428,10,high,require_additional_auth,2
2025-07-19 23:27:36,8,tap,0.7527,False,429,10,high,require_additional_auth,3
2025-07-19 23:27:36,8,tap,0.5965,False,430,10,medium,security_challenge,3
