timestamp,user_id,model_type,anomaly_score,is_warmup,samples_count,features_processed,risk_level,action_taken,session_duration
2025-07-18 13:26:50,user_1,swipe,0.0638,False,97,11,low,none,859
2025-07-18 13:29:50,user_3,typing,0.3437,False,51,7,low,none,3498
2025-07-18 13:31:50,user_2,swipe,0.0137,True,9,12,low,none,2733
2025-07-18 13:32:50,user_8,typing,0.0241,False,82,9,low,none,447
2025-07-18 13:32:50,user_2,swipe,0.3939,False,14,16,low,none,474
2025-07-18 13:35:50,user_3,typing,0.8235,False,78,11,high,security_challenge,3376
2025-07-18 13:36:50,user_1,typing,0.0462,True,1,11,low,none,2756
2025-07-18 13:37:50,user_5,swipe,0.3853,False,9,18,low,none,2103
2025-07-18 13:38:50,user_2,tap,0.2674,False,55,8,low,none,2063
2025-07-18 13:41:50,user_2,typing,0.0894,False,20,12,low,none,832
2025-07-18 13:47:50,user_3,swipe,0.2767,False,21,13,low,none,2274
2025-07-18 13:48:50,user_5,typing,0.2532,False,74,9,low,none,1084
2025-07-18 13:48:50,user_2,tap,0.3308,False,95,13,low,none,548
2025-07-18 13:49:50,user_3,swipe,0.3009,False,25,10,low,none,183
2025-07-18 13:50:50,user_4,tap,0.0849,True,1,15,low,none,813
2025-07-18 13:50:50,user_5,swipe,0.3478,False,76,18,low,none,716
2025-07-18 13:51:50,user_2,typing,0.2646,False,86,12,low,none,3553
2025-07-18 13:53:50,user_3,swipe,0.0004,True,10,14,low,none,1878
2025-07-18 13:53:50,user_2,tap,0.3284,False,73,15,low,none,3526
2025-07-18 13:57:50,user_2,swipe,0.5028,False,6,17,medium,none,3225
2025-07-18 13:57:50,user_1,tap,0.2755,False,83,9,low,none,272
2025-07-18 13:58:50,user_1,typing,0.3944,False,54,6,low,none,465
2025-07-18 14:00:50,user_4,typing,0.5786,False,66,9,medium,none,1337
2025-07-18 14:10:50,user_2,swipe,0.0393,True,3,16,low,none,3570
2025-07-18 14:11:50,user_5,tap,0.2773,False,68,11,low,none,200
2025-07-18 14:11:50,user_3,typing,0.3967,False,99,11,low,none,2338
2025-07-18 14:12:50,user_8,typing,0.3749,False,25,9,low,none,2704
2025-07-18 14:13:50,user_4,swipe,0.2421,False,40,16,low,none,1778
2025-07-18 14:13:50,user_1,typing,0.1741,False,42,6,low,none,273
2025-07-18 14:16:50,user_2,tap,0.162,False,47,10,low,none,1892
2025-07-18 14:16:50,user_2,typing,0.0251,True,9,7,low,none,946
2025-07-18 14:18:50,user_4,swipe,0.2973,False,23,10,low,none,824
2025-07-18 14:19:50,user_8,tap,0.4661,False,13,9,medium,security_challenge,1408
2025-07-18 14:21:50,user_1,tap,0.1774,False,20,8,low,none,2659
2025-07-18 14:21:50,user_1,typing,0.8023,False,22,7,high,force_logout,2872
2025-07-18 14:21:50,user_8,tap,0.1565,False,85,10,low,none,1139
2025-07-18 14:21:50,user_8,tap,0.1003,False,11,12,low,none,2229
2025-07-18 14:22:50,user_3,typing,0.0815,False,25,11,low,none,2275
2025-07-18 14:22:50,user_8,tap,0.1449,False,40,9,low,none,2642
2025-07-18 14:31:50,user_8,swipe,0.1161,True,1,12,low,none,2182
2025-07-18 14:32:50,user_1,typing,0.1857,True,2,8,low,none,383
2025-07-18 14:33:50,user_3,typing,0.2877,False,56,10,low,none,1368
2025-07-18 14:37:50,user_2,tap,0.3966,False,95,8,low,none,2549
2025-07-18 14:38:50,user_4,swipe,0.0205,False,5,15,low,none,1262
2025-07-18 14:38:50,user_4,swipe,0.0699,False,19,14,low,none,1644
2025-07-18 14:40:50,user_8,tap,0.2149,False,84,8,low,none,2192
2025-07-18 14:40:50,user_4,swipe,0.134,False,38,18,low,none,3359
2025-07-18 14:40:50,user_5,typing,0.388,False,62,9,low,none,1275
2025-07-18 14:41:50,user_1,typing,0.4804,False,88,8,medium,none,3416
2025-07-18 14:42:50,user_1,swipe,0.4487,False,11,12,medium,none,2686
2025-07-18 14:44:50,user_5,tap,0.2291,False,66,9,low,none,376
2025-07-18 14:46:50,user_1,swipe,0.7999,False,11,12,medium,none,2232
2025-07-18 14:48:50,user_2,typing,0.6281,True,2,9,medium,security_challenge,2577
2025-07-18 14:48:50,user_4,tap,0.6836,False,26,11,medium,security_challenge,681
2025-07-18 14:50:50,user_4,swipe,0.0484,False,25,15,low,none,3228
2025-07-18 14:50:50,user_5,tap,0.7706,False,66,13,medium,security_challenge,611
2025-07-18 14:53:50,user_8,typing,0.019,False,29,8,low,none,2535
2025-07-18 14:54:50,user_5,tap,0.3274,False,58,10,low,none,1965
2025-07-18 14:56:50,user_3,tap,0.3501,False,11,15,low,none,2810
2025-07-18 14:57:50,user_4,swipe,0.3763,False,36,18,low,none,2280
2025-07-18 14:57:50,user_4,swipe,0.5428,False,35,10,medium,security_challenge,539
2025-07-18 14:58:50,user_3,typing,0.0279,False,47,12,low,none,1584
2025-07-18 15:02:50,user_8,tap,0.4363,False,88,15,medium,none,1890
2025-07-18 15:05:50,user_5,swipe,0.192,False,65,13,low,none,2329
2025-07-18 15:07:50,user_2,tap,0.2464,False,39,15,low,none,146
2025-07-18 15:07:50,user_2,swipe,0.1783,False,28,10,low,none,888
2025-07-18 15:08:50,user_2,tap,0.1709,False,87,12,low,none,1259
2025-07-18 15:08:50,user_2,tap,0.1991,False,100,12,low,none,1522
2025-07-18 15:12:50,user_8,swipe,0.7966,False,31,17,medium,none,3215
2025-07-18 15:15:50,user_5,typing,0.1579,False,32,8,low,none,2680
2025-07-18 15:18:50,user_4,tap,0.2473,True,8,13,low,none,1099
2025-07-18 15:19:50,user_1,tap,0.4905,False,57,11,medium,security_challenge,3398
2025-07-18 15:20:50,user_8,typing,0.3107,False,28,10,low,none,223
2025-07-18 15:21:50,user_3,tap,0.3461,False,47,15,low,none,848
2025-07-18 15:22:50,user_1,swipe,0.5429,False,34,10,medium,security_challenge,37
2025-07-18 15:24:50,user_8,tap,0.6416,False,7,8,medium,none,2628
2025-07-18 15:25:50,user_8,swipe,0.3031,False,30,13,low,none,1001
2025-07-18 15:26:50,user_8,typing,0.3328,False,73,7,low,none,247
2025-07-18 15:26:50,user_3,tap,0.3791,False,60,11,low,none,306
2025-07-18 15:29:50,user_3,typing,0.5558,False,39,11,medium,none,2769
2025-07-18 15:30:50,user_5,typing,0.3536,False,65,11,low,none,2676
2025-07-18 15:31:50,user_8,typing,0.387,False,36,10,low,none,2057
2025-07-18 15:31:50,user_2,tap,0.3478,False,26,14,low,none,994
