timestamp,user_id,model_type,anomaly_score,is_warmup,samples_count,features_processed,risk_level,action_taken,session_duration
2025-07-18 13:32:50,user_4,swipe,0.1792,False,55,14,low,none,1083
2025-07-18 14:13:50,user_5,typing,0.248,False,38,12,low,none,332
2025-07-18 14:20:50,user_2,typing,0.063,False,75,10,low,none,72
2025-07-18 14:22:50,user_4,tap,0.1779,False,37,12,low,none,3113
2025-07-18 14:35:50,user_8,tap,0.0994,False,12,8,low,none,976
2025-07-18 14:39:50,user_2,swipe,0.2824,False,40,15,low,none,852
2025-07-18 15:58:50,user_1,typing,0.186,False,82,12,low,none,2053
2025-07-18 16:49:50,user_2,typing,0.6306,False,81,11,medium,none,63
2025-07-18 16:51:50,user_2,typing,0.1799,False,16,11,low,none,386
2025-07-18 17:28:50,user_4,swipe,0.4642,False,45,14,medium,security_challenge,3294
2025-07-18 17:34:50,user_8,swipe,0.4933,False,11,13,medium,none,3040
2025-07-18 18:06:50,user_8,tap,0.6505,False,30,13,medium,security_challenge,3063
2025-07-18 18:31:50,user_3,swipe,0.0185,False,42,14,low,none,3213
2025-07-18 18:41:50,user_3,swipe,0.8777,False,40,14,high,force_logout,1300
2025-07-18 19:20:50,user_3,tap,0.1572,False,88,14,low,none,991
2025-07-18 19:22:50,user_4,tap,0.6936,False,56,15,medium,none,3044
2025-07-18 19:54:50,user_8,swipe,0.458,False,79,15,medium,none,2682
2025-07-18 20:55:50,user_5,swipe,0.1357,False,23,12,low,none,2688
2025-07-18 21:04:50,user_4,tap,0.1747,False,6,12,low,none,1843
2025-07-18 22:50:50,user_8,tap,0.2876,False,60,15,low,none,3308
2025-07-18 22:57:50,user_2,swipe,0.2897,False,43,12,low,none,1587
2025-07-18 23:00:50,user_8,typing,0.759,False,70,10,medium,none,3525
2025-07-18 23:34:50,user_8,typing,0.6949,False,89,11,medium,security_challenge,849
2025-07-18 23:50:50,user_4,tap,0.023,False,65,12,low,none,497
2025-07-18 23:52:50,user_8,swipe,0.613,False,96,11,medium,none,147
2025-07-19 01:34:50,user_5,typing,0.0801,False,10,7,low,none,3073
2025-07-19 03:14:50,user_1,tap,0.3175,False,71,13,low,none,2998
2025-07-19 03:23:50,user_8,swipe,0.0882,False,50,10,low,none,3478
2025-07-19 03:24:50,user_2,typing,0.3606,False,59,11,low,none,396
2025-07-19 03:45:50,user_5,tap,0.7533,False,66,9,medium,none,3083
2025-07-19 03:51:50,user_4,tap,0.5409,False,67,13,medium,none,3435
2025-07-19 04:50:50,user_4,typing,0.2748,False,15,9,low,none,2895
2025-07-19 06:33:50,user_5,typing,0.34,False,25,11,low,none,30
2025-07-19 06:52:50,user_1,typing,0.6136,False,65,9,medium,none,2982
2025-07-19 07:06:50,user_5,typing,0.1346,False,35,11,low,none,3255
2025-07-19 07:17:50,user_4,tap,0.021,False,86,8,low,none,372
2025-07-19 07:17:50,user_5,swipe,0.3699,False,96,17,low,none,581
2025-07-19 07:24:50,user_2,tap,0.2902,False,72,9,low,none,2074
2025-07-19 08:29:50,user_2,tap,0.3418,False,24,9,low,none,3220
2025-07-19 09:51:50,user_8,tap,0.2171,False,32,10,low,none,2067
2025-07-19 10:52:50,user_1,tap,0.0511,False,89,14,low,none,3344
2025-07-19 11:12:50,user_3,swipe,0.0314,False,29,13,low,none,3070
2025-07-19 11:34:50,user_8,tap,0.1677,False,55,11,low,none,1732
2025-07-19 11:42:50,user_3,typing,0.1647,False,80,12,low,none,2619
2025-07-19 12:44:50,user_3,swipe,0.2028,True,7,10,low,none,1886
2025-07-19 12:45:50,user_4,typing,0.3723,False,47,8,low,none,3331
2025-07-19 12:54:50,user_5,swipe,0.7772,False,11,15,medium,security_challenge,3392
2025-07-19 13:02:50,user_1,typing,0.1454,False,39,11,low,none,2385
2025-07-19 13:09:50,user_8,tap,0.0359,True,3,11,low,none,288
2025-07-19 13:22:50,user_4,tap,0.5217,False,89,10,medium,none,2636
